intent,precision,recall,f1,support
greeting,0.6364,0.7778,0.7000,9
goodbye,0.6364,0.7778,0.7000,9
thanks,1.0000,0.8889,0.9412,9
bot_identity,0.9000,0.8182,0.8571,11
capabilities,0.8750,0.8750,0.8750,8
profanity,0.8000,1.0000,0.8889,4
out_of_scope,0.9000,0.8438,0.8710,64
about_vit,0.7000,0.7778,0.7368,9
rankings,0.7500,1.0000,0.8571,6
research_patents,0.8750,0.8750,0.8750,8
campus_location,0.7500,0.8571,0.8000,7
contact_info,0.7143,0.8333,0.7692,6
ffcs,0.6667,0.5000,0.5714,8
programmes,0.7273,0.8000,0.7619,10
schools,0.8000,0.6667,0.7273,6
faculty,0.8750,1.0000,0.9333,7
syllabus,0.8333,0.8333,0.8333,6
examinations,1.0000,0.6250,0.7692,8
academic_calendar,1.0000,0.7778,0.8750,9
attendance,0.6667,1.0000,0.8000,6
admissions,0.6667,1.0000,0.8000,8
viteee,1.0000,0.8571,0.9231,7
fees,1.0000,1.0000,1.0000,8
scholarships,1.0000,1.0000,1.0000,9
hostel,0.8889,0.8889,0.8889,9
dining,1.0000,0.8750,0.9333,8
library,1.0000,1.0000,1.0000,7
sports,1.0000,0.8333,0.9091,6
health_services,1.0000,1.0000,1.0000,6
transport,0.8000,1.0000,0.8889,8
campus_facilities,0.7500,0.6667,0.7059,9
clubs_events,1.0000,0.7500,0.8571,8
vtop,0.8000,0.6667,0.7273,6
student_welfare,1.0000,0.6667,0.8000,6
anti_ragging,1.0000,1.0000,1.0000,6
grievances,0.8333,1.0000,0.9091,5
placements,0.7500,0.8571,0.8000,7
internships,1.0000,1.0000,1.0000,6
