intent,precision,recall,f1,support
greeting,0.8000,0.8889,0.8421,9
goodbye,0.7273,0.8000,0.7619,10
thanks,0.8000,0.8889,0.8421,9
bot_identity,0.9167,1.0000,0.9565,11
capabilities,1.0000,1.0000,1.0000,8
profanity,1.0000,1.0000,1.0000,4
out_of_scope,0.9474,0.8438,0.8926,64
about_vit,1.0000,0.5714,0.7273,7
campus_location,0.8571,0.8571,0.8571,7
contact_info,0.7500,1.0000,0.8571,6
ffcs,0.8571,0.7500,0.8000,8
programmes,0.8889,0.8000,0.8421,10
schools,1.0000,0.8333,0.9091,6
faculty,0.7500,0.8571,0.8000,7
syllabus,0.7500,1.0000,0.8571,6
examinations,0.6667,1.0000,0.8000,8
academic_calendar,0.6667,0.5714,0.6154,7
attendance,1.0000,0.8333,0.9091,6
admissions,0.8889,1.0000,0.9412,8
viteee,0.8571,0.8571,0.8571,7
fees,0.9000,1.0000,0.9474,9
scholarships,1.0000,0.7778,0.8750,9
hostel,1.0000,1.0000,1.0000,9
dining,0.7273,1.0000,0.8421,8
library,1.0000,0.8571,0.9231,7
sports,0.7500,1.0000,0.8571,6
health_services,1.0000,1.0000,1.0000,6
transport,0.5556,0.8333,0.6667,6
campus_facilities,0.5000,0.2857,0.3636,7
clubs_events,0.7778,0.8750,0.8235,8
vtop,1.0000,0.6667,0.8000,6
student_welfare,1.0000,0.8333,0.9091,6
anti_ragging,1.0000,0.8333,0.9091,6
grievances,0.8000,0.8000,0.8000,5
placements,0.8571,0.8571,0.8571,7
internships,0.8571,1.0000,0.9231,6
